"Subject.Id" "Activity.Id" "TimeDomain.BodyAcceleration.Mean.X" "TimeDomain.BodyAcceleration.Mean.Y" "TimeDomain.BodyAcceleration.Mean.Z" "TimeDomain.BodyAcceleration.StandardDeviation.X" "TimeDomain.BodyAcceleration.StandardDeviation.Y" "TimeDomain.BodyAcceleration.StandardDeviation.Z" "TimeDomain.GravityAcceleration.Mean.X" "TimeDomain.GravityAcceleration.Mean.Y" "TimeDomain.GravityAcceleration.Mean.Z" "TimeDomain.GravityAcceleration.StandardDeviation.X" "TimeDomain.GravityAcceleration.StandardDeviation.Y" "TimeDomain.GravityAcceleration.StandardDeviation.Z" "TimeDomain.BodyAccelerationJerk.Mean.X" "TimeDomain.BodyAccelerationJerk.Mean.Y" "TimeDomain.BodyAccelerationJerk.Mean.Z" "TimeDomain.BodyAccelerationJerk.StandardDeviation.X" "TimeDomain.BodyAccelerationJerk.StandardDeviation.Y" "TimeDomain.BodyAccelerationJerk.StandardDeviation.Z" "TimeDomain.BodyAngularSpeed.Mean.X" "TimeDomain.BodyAngularSpeed.Mean.Y" "TimeDomain.BodyAngularSpeed.Mean.Z" "TimeDomain.BodyAngularSpeed.StandardDeviation.X" "TimeDomain.BodyAngularSpeed.StandardDeviation.Y" "TimeDomain.BodyAngularSpeed.StandardDeviation.Z" "TimeDomain.BodyAngularAcceleration.Mean.X" "TimeDomain.BodyAngularAcceleration.Mean.Y" "TimeDomain.BodyAngularAcceleration.Mean.Z" "TimeDomain.BodyAngularAcceleration.StandardDeviation.X" "TimeDomain.BodyAngularAcceleration.StandardDeviation.Y" "TimeDomain.BodyAngularAcceleration.StandardDeviation.Z" "TimeDomain.BodyAccelerationMagnitude.Mean" "TimeDomain.BodyAccelerationMagnitude.StandardDeviation" "TimeDomain.GravityAccelerationMagnitude.Mean" "TimeDomain.GravityAccelerationMagnitude.StandardDeviation" "TimeDomain.BodyAccelerationJerkMagnitude.Mean" "TimeDomain.BodyAccelerationJerkMagnitude.StandardDeviation" "TimeDomain.BodyAngularSpeedMagnitude.Mean" "TimeDomain.BodyAngularSpeedMagnitude.StandardDeviation" "TimeDomain.BodyAngularAccelerationMagnitude.Mean" "TimeDomain.BodyAngularAccelerationMagnitude.StandardDeviation" "FrequencyDomain.BodyAcceleration.Mean.X" "FrequencyDomain.BodyAcceleration.Mean.Y" "FrequencyDomain.BodyAcceleration.Mean.Z" "FrequencyDomain.BodyAcceleration.StandardDeviation.X" "FrequencyDomain.BodyAcceleration.StandardDeviation.Y" "FrequencyDomain.BodyAcceleration.StandardDeviation.Z" "FrequencyDomain.BodyAcceleration.MeanFrequency.X" "FrequencyDomain.BodyAcceleration.MeanFrequency.Y" "FrequencyDomain.BodyAcceleration.MeanFrequency.Z" "FrequencyDomain.BodyAccelerationJerk.Mean.X" "FrequencyDomain.BodyAccelerationJerk.Mean.Y" "FrequencyDomain.BodyAccelerationJerk.Mean.Z" "FrequencyDomain.BodyAccelerationJerk.StandardDeviation.X" "FrequencyDomain.BodyAccelerationJerk.StandardDeviation.Y" "FrequencyDomain.BodyAccelerationJerk.StandardDeviation.Z" "FrequencyDomain.BodyAccelerationJerk.MeanFrequency.X" "FrequencyDomain.BodyAccelerationJerk.MeanFrequency.Y" "FrequencyDomain.BodyAccelerationJerk.MeanFrequency.Z" "FrequencyDomain.BodyAngularSpeed.Mean.X" "FrequencyDomain.BodyAngularSpeed.Mean.Y" "FrequencyDomain.BodyAngularSpeed.Mean.Z" "FrequencyDomain.BodyAngularSpeed.StandardDeviation.X" "FrequencyDomain.BodyAngularSpeed.StandardDeviation.Y" "FrequencyDomain.BodyAngularSpeed.StandardDeviation.Z" "FrequencyDomain.BodyAngularSpeed.MeanFrequency.X" "FrequencyDomain.BodyAngularSpeed.MeanFrequency.Y" "FrequencyDomain.BodyAngularSpeed.MeanFrequency.Z" "FrequencyDomain.BodyAccelerationMagnitude.Mean" "FrequencyDomain.BodyAccelerationMagnitude.StandardDeviation" "FrequencyDomain.BodyAccelerationMagnitude.MeanFrequency" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude.Mean" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude.StandardDeviation" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude.MeanFrequency" "FrequencyDomain.BodyBodyAngularSpeedMagnitude.Mean" "FrequencyDomain.BodyBodyAngularSpeedMagnitude.StandardDeviation" "FrequencyDomain.BodyBodyAngularSpeedMagnitude.MeanFrequency" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude.Mean" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude.StandardDeviation" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude.MeanFrequency" "angletBodyAccelerationMean.gravity" "angletBodyAccelerationJerkMean.gravityMean" "angletBodyAngularSpeedMean.gravityMean" "angletBodyAngularAccelerationMean.gravityMean" "angleX.gravityMean" "angleY.gravityMean" "angleZ.gravityMean"
1 "LAYING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.90772000676 -0.85236629022 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 -0.9241492736 -0.9548551108 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 -0.9510904402 -0.9082846626 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.9679072436 -0.9577901596 -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.8336255561 -0.81289155944 -0.158792670508 0.097534841586 0.08943765522 -0.9132222358 -0.9861261602 -0.9949467358 -0.9883432034 -0.9695500606 -0.9820552998 -0.9570738838 -0.9224626098 -0.9480609042 -0.80051182446 -0.828646839618 -0.232 -0.2592 -0.3112 0.132419092398 -0.9608458736 -0.9910523322 -0.9955194022 -0.9985764866 -0.9949763592 -0.9165825082 -0.9076752988 -0.8943432168 -0.9861948752 -0.9364442664 -0.5229729321 -0.1780860953 -0.382973952658 -0.0592593172 -0.9725660026 -0.9778129572 -0.9746545416 -0.9654114976 -0.9861645352 -0.9947050944 -0.9983641902 -0.9977716264
1 "SITTING" 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.977229008297872 -0.922618641914894 -0.93958629106383 0.831509933404255 0.204411592680851 0.332043702765957 -0.968457145744681 -0.935517055957447 -0.949040933191489 0.0774825199574468 -0.000619102785106384 -0.00336779235021277 -0.986430711276596 -0.981371965319149 -0.987910804468085 -0.045350056512766 -0.0919241549361702 0.0629313811914894 -0.977211283191489 -0.966473895319149 -0.941425920851064 -0.0936793807234043 -0.0402118124255319 -0.046702627 -0.99173159212766 -0.989518068510638 -0.987935806382979 -0.948536786170213 -0.927078418723404 -0.948536786170213 -0.927078418723404 -0.987364195531915 -0.984120024042553 -0.93089249 -0.934531840425532 -0.991976341276596 -0.988308728510638 -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.976412313191489 -0.917275006382979 -0.934469558085106 -0.0495135975489362 0.0759460768510638 0.238829870148936 -0.979586740212766 -0.998748331489362 -0.99882365787234 -0.998674109361702 -0.997054629574468 -0.995825439361702 -0.986597022553191 -0.981579467021277 -0.986053092340425 -0.959720846170213 -0.967613255957447 -0.118297872340426 -0.243404255319149 -0.221276595744681 0.256610823568085 -0.998989667234043 -0.999413425744681 -0.999259357234043 -0.999802341489362 -0.999630449148936 -0.94391784106383 -0.949309725957447 -0.976864209361702 -0.992913348723404 -0.978395126382979 -0.801088654234043 -0.251980798621277 -0.514621024412766 0.0916162731889362 -0.999153890638298 -0.999402036595745 -0.999166292765957 -0.998137557446809 -0.999663006808511 -0.990187383404255 -0.99975735787234 -0.999799265744681
1 "STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.973190056415094 -0.979775876981132 0.942952000377358 -0.272983832264151 0.0134905823226415 -0.99376298509434 -0.981225957924528 -0.976324063584906 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.994604542264151 -0.98564873245283 -0.992251177358491 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.987191946603774 -0.98773444 -0.980645626981132 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.992945106981132 -0.995137917358491 -0.992108467169811 -0.984278207358491 -0.981942928867925 -0.984278207358491 -0.981942928867925 -0.992367790566038 -0.993096209433962 -0.976493792830189 -0.978690028679245 -0.994966790566038 -0.994733238679245 -0.995249932641509 -0.977070847735849 -0.985297098679245 -0.99602834509434 -0.972293102075472 -0.977937259622642 0.0865153619088679 0.117478948718868 0.244858585792453 -0.998363767169811 -0.999776926037736 -0.99977837245283 -0.999709818679245 -0.999416590566038 -0.999429763018868 -0.994630797358491 -0.985418704528302 -0.990752166037736 -0.995002275471698 -1 -0.110188679245283 -0.32 -0.120754716981132 0.314182940150943 -0.999788466603774 -0.999844376792453 -0.999770308490566 -0.999871171320755 -0.999762983396226 -0.98234533 -0.981138436226415 -0.987234704150943 -0.999443788113208 -0.988907299811321 -0.747306979811321 -0.168074752716981 -0.60160664554717 -0.315111716283019 -0.999924499433962 -0.999917994528302 -0.999911981698113 -0.999842162641509 -0.999949959811321 -0.999709802264151 -0.999956746226415 -0.999985711698113
1 "WALKING" 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 0.935223201473684 -0.282165021263158 -0.068102864 -0.976609642526316 -0.971305961473684 -0.947717226105263 0.0740416333157895 0.0282721095884211 -0.00416840617789474 -0.113615602435789 0.0670025007684211 -0.502699788526316 -0.041830963526 -0.0695300462115789 0.0849448173042105 -0.473535485894737 -0.0546077686594737 -0.344266629473684 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.207421854757895 -0.304468510631579 -0.404255452631579 -0.136971176556842 -0.219688645631579 -0.136971176556842 -0.219688645631579 -0.141428809031579 -0.0744717500625263 -0.160979552536842 -0.186978364526316 -0.298703679084211 -0.325324878894737 -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.319134719578947 0.056040006846 -0.279686751494737 -0.207548374494737 0.113093646103158 0.0497265196172632 -0.648427953263158 -0.357642790013684 -0.579840351484211 -0.763338361473684 -0.689347963157895 -0.667835005842105 -0.170546964549579 -0.0352255241130632 -0.468999224631579 0.654704547789474 0.344201451789474 -0.361263157894737 -0.458526315789474 -0.247157894736842 -0.209261973376842 -0.701462939789474 -0.397083819347368 -0.516455299389474 -0.869832386 -0.929446604105263 -0.436562227473684 -0.291930707368421 -0.550517684631579 -0.781662639578947 -0.356793381225263 0.555892297894737 -0.286403676210526 -0.625925512842105 -0.382491789137895 -0.96484681168421 -0.913849623578947 -0.945752965052632 -0.861112534736842 -0.933790816315789 -0.458610228947368 -0.931874271684211 -0.807090448526316
1 "WALKING_DOWNSTAIRS" 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.0300353383483878 -0.0319359434489796 -0.230434213204082 0.931874418979592 -0.266610338979592 -0.0621199585938775 -0.950559811632653 -0.937018658979592 -0.895939695102041 0.0541553164897959 0.0296504490408163 -0.0109719730183673 -0.012283860544898 -0.101601390640816 -0.345735032326531 -0.0350781902989796 -0.0909371290204082 0.0900850142030612 -0.458030542938775 -0.126349194938775 -0.124702454242857 -0.0739592036271429 -0.0439902783367347 -0.0270461061061224 -0.487027342244898 -0.238824827530612 -0.268761480242857 0.0271882914106122 0.0198843506265306 0.0271882914106122 0.0198843506265306 -0.0894474807979592 -0.0257877197081633 -0.0757412543673469 -0.225724368061224 -0.295463843346939 -0.306510645530612 0.0382291831510204 0.00154990783591837 -0.225574471693878 0.0243308391387755 -0.112963739953061 -0.297927894693878 -0.307395198687755 0.0632200839346939 0.294322700810612 -0.660396967142857 -0.627210608571429 -0.650706561632653 -0.732934353061224 -0.738145384693878 -0.712886524714286 -0.0276638676122449 -0.12866715764898 -0.288334735714286 0.612594744897959 0.492394539795918 -0.522448979591837 -0.402448979591837 -0.16734693877551 -0.253164344918367 -0.693497416122449 -0.684417220204082 -0.594216842040816 -0.770689683673469 -0.837806831836735 -0.238443565306122 -0.0561164583142857 -0.462235639163265 -0.610279082857143 -0.0816266474879592 0.53348314755102 -0.176474683371429 -0.786164025306123 -0.299005046612245 -0.93360946877551 -0.904344151020408 -0.928073983673469 -0.832710833469388 -0.927878544897959 -0.615407430816327 -0.903241505102041 -0.83404579
1 "WALKING_UPSTAIRS" 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.35470802509434 -0.00232026501698113 -0.0194792388471698 0.89335109754717 -0.362153364339623 -0.075402939754717 -0.956367027924528 -0.952849233207547 -0.912379410377358 0.101372729922642 0.0194863076188679 -0.0455625449113208 -0.446843887735849 -0.378274426037736 -0.706593530943396 0.050549379754717 -0.166170015088679 0.0583595463981132 -0.544871104528302 0.00410518379811321 -0.50716867490566 -0.122232768011321 -0.0421485884509434 -0.0407125527654717 -0.614786508490566 -0.601696656226415 -0.606332002264151 -0.129927630735849 -0.324970929245283 -0.129927630735849 -0.324970929245283 -0.466503446226415 -0.478991622075472 -0.126735589969811 -0.14861931805283 -0.59488286509434 -0.648553044339623 -0.404321784150943 -0.190976720811321 -0.433349702075472 -0.337428188679245 0.0217695106566038 0.0859565543849057 -0.418735000377359 -0.160697213516981 -0.520114793584906 -0.403319593584906 -0.848267307358491 -0.878416393584906 -0.903336227169811 -0.885754545471698 -0.856208178867925 -0.479875245660377 -0.41344458754717 -0.685474353962264 0.38879473509434 0.0751411433481038 -0.636981132075472 -0.696603773584906 -0.76 -0.377023128301887 -0.587025707924528 -0.858675862641509 -0.860496242264151 -0.969940792641509 -0.977799813207547 -0.57170784 -0.446414126415094 -0.538078742186792 -0.871914843773585 -0.497092438867925 0.404000750943396 -0.1135742048 0.286779083698113 -0.441956560339623 -0.966548072075472 -0.957930949245283 -0.963118625283019 -0.880645491698113 -0.969104824716981 -0.202020944528302 -0.948503773584906 -0.933665421509434
2 "LAYING" 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.98027739875 -0.984233296875 -0.509754238125 0.752536639375 0.646834879583333 -0.959014441458333 -0.988211865208333 -0.984230418125 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.98587216875 -0.98317254125 -0.988442014375 -0.01847660675 -0.111800824583333 0.144882846104167 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.976725059791667 -0.979800877916667 -0.984380981875 -0.973246482083333 -0.981025105625 -0.984792185 -0.146482792591667 0.2572894655 0.402532553395833 -0.999098336041667 -0.99968708875 -0.999710803958333 -0.99950883875 -0.999443196875 -0.999417494583333 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.9775816175 -0.974192016458333 -0.179166666666667 -0.249166666666667 -0.149166666666667 0.159808328563875 -0.999713350833333 -0.999745041666667 -0.999620856666667 -0.999794852708333 -0.99964381875 -0.963174222291667 -0.965524786041667 -0.987621074791667 -0.997739106041667 -0.978085865416667 -0.801880940416667 -0.215226526584375 -0.37094893775 0.0358514288416667 -0.999771558333333 -0.999782621875 -0.999765555 -0.999738868541667 -0.999868095833333 -0.999594967291667 -0.99991117375 -0.999918063333333
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.950704499130435 -0.95982817173913 0.940477273043478 -0.105630024498783 0.19872676876087 -0.979988760869565 -0.956750273043478 -0.954415873043478 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.988055854130435 -0.977983955434783 -0.98751821173913 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.985742027826087 -0.978919526956522 -0.959803708695652 -0.0936328412826087 -0.0415602029130435 -0.04358509665 -0.989709023043478 -0.990889614782609 -0.985542325652174 -0.967893623913043 -0.953081444130435 -0.967893623913043 -0.953081444130435 -0.986774713043478 -0.984475868043478 -0.946035087173913 -0.961313624130435 -0.991081493913043 -0.989594919565217 -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.98736209 -0.950073754130435 -0.956862864130435 0.08519282071 0.150193956163043 0.0960646759586957 -0.992640843913044 -0.999348434347826 -0.99934058826087 -0.999084457608696 -0.99806029326087 -0.997441556086957 -0.987848793695652 -0.977139702826087 -0.985129050217391 -0.968906322173913 -0.971387835217391 -0.122608695652174 -0.297391304347826 -0.164347826086957 0.305546818084783 -0.999533993043478 -0.999799137608696 -0.999492492826087 -0.999764713478261 -0.999604305 -0.963522659782609 -0.96343268 -0.985709473043478 -0.998153853043478 -0.975792802608696 -0.719561551521739 -0.356219636347826 -0.443023435608696 -0.187090071663043 -0.999754796956522 -0.999764237391304 -0.999711662826087 -0.999745474347826 -0.999816669130435 -0.999463878043478 -0.999941069782609 -0.999949786956522
2 "STANDING" 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 0.896928566851852 -0.370062696851852 0.129747161222222 -0.986685818703704 -0.97419442037037 -0.945927078703704 0.0747588597592593 0.0103291774794444 -0.00837158846722222 -0.981085715555556 -0.97105943962963 -0.982841446481482 -0.0238623875712963 -0.0820396577592593 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852 -0.105562157888889 -0.042241953537037 -0.0546539479425926 -0.979324000740741 -0.983447258518519 -0.973610118333333 -0.965875181296296 -0.957874965 -0.965875181296296 -0.957874965 -0.980489077407407 -0.976675280185185 -0.963466341851852 -0.95394338037037 -0.983951904259259 -0.977204427777778 -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.989056469814815 -0.957908842222222 -0.946433583518518 0.108519182924074 0.0623378066683333 0.104462499601852 -0.997671886481482 -0.999361639259259 -0.999116773333333 -0.99898362 -0.998799061111111 -0.998655016296296 -0.980973241666667 -0.970851337962963 -0.979775152037037 -0.925181028148148 -0.944724366666667 -0.0948148148148148 -0.291111111111111 -0.206666666666667 0.331449281481482 -0.999126529074074 -0.999467588703704 -0.998970432777778 -0.999647743888889 -0.999320215925926 -0.969754295740741 -0.962480140925926 -0.976416651666667 -0.998129199074074 -0.965472923518519 -0.58648072948037 -0.300344499208333 -0.688238436296296 -0.293982960703704 -0.999244703703704 -0.999154541481482 -0.999230947222222 -0.999097659814815 -0.999426093333333 -0.998593484074074 -0.99967850462963 -0.999810602962963
2 "WALKING" 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 0.91301733338983 -0.34660709 0.0847270871186441 -0.972693201355932 -0.972116879661017 -0.972072847627119 0.0618080696279661 0.0182492679288136 0.00789533706610169 -0.277530462620339 -0.0166022362847458 -0.586090418983051 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.561550255762712 -0.53845366779661 -0.481085535084746 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.389549831525424 -0.634140436101695 -0.435492677288136 -0.290407593728814 -0.422544169322034 -0.290407593728814 -0.422544169322034 -0.281424153881356 -0.164150985127119 -0.446549092881356 -0.553019916271186 -0.547911950338983 -0.557798151355932 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.16921968620339 -0.455222146440678 -0.14579548970339 0.198586466508475 0.0688995208186441 -0.712208329491525 -0.761244444576271 -0.459862263152542 -0.493371845661017 -0.730819317101695 -0.714132015254237 -0.304615322881356 -0.0787640836610169 -0.554956709661017 0.631032479491525 0.242356740169492 -0.221694915254237 -0.226440677966102 -0.221016949152542 -0.0727101584479661 -0.751726649661017 -0.772500823898305 -0.314551302813559 -0.923005920338983 -0.949313336440678 -0.559856635084746 -0.433510403728814 -0.607365387288136 -0.862388859152542 -0.40288147 0.528886155932203 -0.23949330190339 -0.65737600779661 -0.403612758813559 -0.973670014067797 -0.936008847288136 -0.960861326101695 -0.907841264237288 -0.838538992372881 -0.881541753220339 -0.979250999661017 -0.950924448983051
